FP_n1	FP_n2	FP_n3	FP_f1	FP_f2	FP_f3	FP_p1	FP_p2	FP_p3	Ch_n1	Ch_n2	Ch_n3	Ch_f1	Ch_f2	Ch_f3	Ch_p1	Ch_p2	Ch_p3	Ch_FDR005	Ch_FDR001	FP_FDR005	FP_FDR001	Protein_Group	Proteins
0.169	0.075	-0.037	-0.154	-0.204	0.054	0.05	0.196	-0.149	-0.076	-0.112	-0.199	0.113	0.274	0.352	-0.206	-0.108	-0.039	not significant	not significant	not significant	not significant	Q8K4F6	NSUN5
-1.339	-1.343	-1.37	0.143	0.05	0.143	1.262	1.251	1.204	-2.01	-1.371	-1.65	0.979	0.657	0.901	0.52	0.913	1.06	significant	significant	significant	significant	Q9JM14	NT5C
-0.212	-0.214	-0.189	0.303	0.266	0.31	-0.096	-0.086	-0.083	0.537	-0.016	-0.093	0.075	-0.088	-0.258	0.222	-0.466	0.086	not significant	not significant	significant	not significant	Q3V1L4	NT5C2
0.105	0.209	0.247	-0.067	-0.067	-0.175	-0.009	-0.148	-0.096	-0.539	-1.038	-1.714	1.287	1.408	-0.941	-0.354	1.015	0.876	significant	not significant	not significant	not significant	"Q9D020;Q9D020-1"	NT5C3A
-0.506	-0.265	-0.23	-0.161	-0.145	-0.148	0.517	0.455	0.483	-0.499	-1.028	-0.851	1.334	0.958	-1.25	-0.584	1.221	0.699	not significant	not significant	significant	not significant	"Q3UFY7;Q3UFY7-4"	NT5C3B
-1.069	-1.197	-0.335	0.373	0.273	0.672	0.449	0.325	0.509	-1.21	-0.778	-0.775	0.769	0.563	0.468	0.275	0.365	0.323	significant	significant	significant	significant	A0A2I3BR81	NT5DC2
0.388	0.408	0.41	-0.295	-0.229	-0.203	-0.06	-0.208	-0.213	-0.82	-1.145	0.518	1.547	1.849	0.012	-0.87	-0.465	-0.624	significant	significant	significant	not significant	Q64311	NTAN1
0.359	1.062	0.323	0.092	-0.799	-0.965	-1.046	0.38	0.594	0.842	0.834	0.883	-0.657	-0.199	-0.06	-0.662	-0.662	-0.318	significant	significant	significant	not significant	O35980	NTHL1
0.001	-0.097	-0.162	0.167	-0.006	-0.204	-0.249	0.189	0.36	0.277	-0.203	0.061	-0.235	1.053	0.383	-0.547	-0.519	-0.269	not significant	not significant	not significant	not significant	Q8R2U4	NTMT1
2.335	1.85	1.179	-0.526	-1.395	-1.129	-0.879	-0.313	-1.123	2.385	2.156	2.102	-1.66	-0.182	-0.635	-0.059	-2.257	-1.851	significant	significant	significant	significant	O09118	NTN1
-0.133	-0.278	-0.151	-0.087	-0.05	0.02	0.153	0.381	0.144	3.267	2.821	-1.907	-0.999	0.095	-1.338	0.031	-0.789	-1.181	significant	not significant	not significant	not significant	Q6VNS1	NTRK3
0.185	0.206	0.53	-0.513	-0.225	0.006	0.225	-0.517	0.102	-0.564	-1.454	-1.22	0.842	0.455	0.284	0.751	0.521	0.385	significant	significant	not significant	not significant	"Q8BZN4;Q8BZN4-2"	NUAK2
0.443	0.326	0.341	-0.024	0.062	0.015	-0.516	-0.291	-0.357	0.143	0.004	0.134	0.792	0.79	0.485	-0.689	-0.786	-0.874	significant	significant	significant	not significant	P54729	NUB1
0.562	0.473	0.461	-0.157	-0.233	-0.194	-0.261	-0.348	-0.303	0.203	-0.238	-0.182	0.654	0.731	0.254	-0.606	-0.467	-0.349	significant	not significant	significant	significant	Q9R060	NUBP1
0.422	0.408	0.363	-0.127	-0.049	0.106	-0.373	-0.45	-0.3	0.346	0.296	0.307	1.673	1.705	0.705	-0.195	-1.065	-3.771	significant	significant	significant	not significant	Q9R061	NUBP2
-0.151	-0.126	-0.344	0.304	0.228	0.115	-0.042	0.113	-0.098	-0.647	-0.343	-1	0.937	0.745	0.761	-0.147	-0.103	-0.202	significant	significant	not significant	not significant	Q9CWD8	NUBPL
-0.112	-0.107	-0.2	0.204	0.218	0.164	-0.009	-0.053	-0.105	6.018	6.078	-2.904	-0.795	0.113	-3.511	1.55	-3.988	-2.561	significant	not significant	not significant	not significant	Q02819	NUCB1
-0.061	-0.679	-0.375	0.419	0.263	0.434	0.128	-0.093	-0.035	-0.35	-0.34	-0.195	0.012	0.008	0.267	-0.009	0.156	0.451	not significant	not significant	significant	not significant	Q80XU3	NUCKS1
0.026	-0.099	-0.183	-0.086	0.017	-0.055	0.082	0.121	0.177	0.335	0.377	0.188	0.698	0.406	-0.237	-0.759	-1.107	0.1	significant	not significant	not significant	not significant	O35685	NUDC
-0.276	-0.263	-0.154	-0.377	-0.244	-0.372	0.54	0.481	0.665	-0.128	-0.297	-0.442	0.039	0.339	-0.244	0.254	0.017	0.461	not significant	not significant	significant	significant	Q6PIP5	NUDCD1
0.082	-0.002	-0.03	-0.074	-0.137	-0.023	0.098	0.08	0.006	-0.52	-0.405	-0.656	0.824	1.081	0.296	-0.263	-0.334	-0.023	significant	significant	not significant	not significant	Q9CQ48	NUDCD2
0.37	0.336	0.352	-0.033	-0.154	-0.005	-0.291	-0.292	-0.281	0.578	0.26	0.3	-0.128	0.339	-0.105	-0.015	-0.402	-0.828	not significant	not significant	significant	not significant	Q8VHN8	NUDT16L1
0.707	0.705	0.379	0.318	0.436	-0.301	0.011	-0.493	-1.762	0.675	0.839	0.863	-0.158	-0.495	-0.873	-0.409	-0.915	0.474	significant	not significant	significant	not significant	P11930	NUDT19
-0.031	-0.034	-0.159	-0.009	-0.061	0.107	0.039	0.133	0.014	0.222	0.378	0.244	-0.041	-0.022	-0.181	-0.174	-0.065	-0.359	not significant	not significant	not significant	not significant	Q9CQF3	NUDT21
-0.27	-0.277	-0.422	0.157	0.182	0.198	0.145	0.223	0.064	-0.513	-1.288	-1.255	1.525	1.181	0.698	-0.242	-0.052	-0.054	significant	significant	significant	not significant	Q9JKX6	NUDT5
0.173	0.32	0.184	0.325	0.208	0.173	-0.445	-0.458	-0.48	-0.23	0.098	-0.245	2.407	1.24	0.972	-1.292	-1.521	-1.428	significant	significant	significant	not significant	Q8BVU5	NUDT9
0.058	0.022	-0.137	-0.23	-0.205	-0.213	0.264	0.276	0.164	-0.542	-0.799	-0.505	0.285	0.657	0.24	0.276	0.327	0.061	significant	not significant	not significant	not significant	Q99P69	NUF2
0.237	0.491	0.159	0.293	-0.034	-0.123	-0.427	-0.076	-0.519	2.083	1.376	-0.238	-0.114	-0.338	-0.189	-0.742	-0.874	-0.963	significant	significant	significant	not significant	Q9QXX8	NUFIP1
-0.139	-0.134	-0.151	-0.01	0.141	0.018	0.056	0.031	0.187	0.156	0.14	0.008	-0.346	-0.044	-0.239	0.14	0.311	-0.126	not significant	not significant	not significant	not significant	Q5F2E7	NUFIP2
0.151	0.124	0.018	-0.009	-0.124	-0.191	0.037	0.034	-0.041	0.071	0.035	0.05	-0.189	-0.155	-0.182	0.097	0.234	0.041	not significant	not significant	not significant	not significant	E9Q7G0	NUMA1
-0.459	-0.149	-0.557	0.159	0.353	-0.004	0.133	0.076	0.447	0.749	0.821	0.931	0.37	0.543	-0.049	-1.099	-1.114	-1.152	significant	significant	significant	not significant	"Q9QZS3;Q9QZS3-3"	NUMB
-0.504	-0.624	-0.491	0.694	0.298	0.117	0.292	0.02	0.199	0.197	0.347	0.249	0.451	0.522	0.767	-0.654	-0.749	-1.13	significant	significant	significant	not significant	O08919	NUMBL
-0.159	-0.046	-0.013	0.083	0.039	0.073	-0.065	-0.011	0.098	-0.012	0.007	0.037	0.139	0.226	0.213	-0.241	-0.262	-0.106	not significant	not significant	not significant	not significant	Q8BH74	NUP107
0.001	0.126	0.203	0.118	-0.006	-0.034	-0.197	-0.09	-0.12	-0.013	0.002	0.057	0.22	0.261	0.185	-0.261	-0.212	-0.239	not significant	not significant	not significant	not significant	Q8R0G9	NUP133
0.112	0.155	-0.048	0.384	0.191	0.264	-0.28	-0.363	-0.414	0.041	-0.031	-0.044	0.229	0.359	0.338	-0.229	-0.296	-0.366	not significant	not significant	significant	not significant	E9Q3G8	NUP153
0.1	0.178	0.171	0.084	-0.025	0.279	-0.273	-0.377	-0.137	-0.033	-0.025	-0.044	0.058	0.181	0.288	-0.205	-0.266	0.047	not significant	not significant	not significant	not significant	Q99P88	NUP155
0.075	-0.105	0.431	0.144	-0.153	0.123	-0.182	-0.291	-0.042	0.019	0.061	0.13	0.129	0.213	0.124	-0.255	-0.315	-0.106	not significant	not significant	not significant	not significant	Q9Z0W3	NUP160
0.023	-0.012	0.28	0.21	0.121	0.049	-0.305	-0.343	-0.023	-0.049	-0.011	0.006	0.086	0.197	0.182	-0.155	-0.083	-0.172	not significant	not significant	not significant	not significant	Q6ZQH8	NUP188
-0.056	0.001	0.133	0.145	0.053	0.05	-0.125	-0.142	-0.059	-0.055	0.028	0.008	0.144	0.187	0.293	-0.265	-0.183	-0.157	not significant	not significant	not significant	not significant	"A0A0J9YUD5;B9EJ54"	NUP205
0.359	0.245	0.344	-0.041	-0.15	-0.055	-0.33	-0.013	-0.357	0.277	0.301	0.276	-0.11	-0.1	-0.221	-0.053	-0.103	-0.268	not significant	not significant	significant	not significant	Q9QY81	NUP210
-0.114	-0.017	-0.15	0.284	0.189	0.064	-0.066	-0.124	-0.067	-0.079	-0.05	-0.148	0.236	0.292	0.191	-0.073	-0.204	-0.164	not significant	not significant	not significant	not significant	Q80U93	NUP214
0.182	0.105	0.196	0.248	0.081	0.163	-0.387	-0.476	-0.113	-0.143	-0.09	-0.026	0.364	0.308	0.184	-0.031	-0.349	-0.217	not significant	not significant	significant	not significant	Q8R4R6	NUP35
-0.116	-0.154	-0.038	0.036	-0.035	0.028	0.168	-0.105	0.216	-0.074	0.03	0.215	0.139	0.134	0.119	-0.282	-0.3	0.02	not significant	not significant	not significant	not significant	Q9CWU9	NUP37
-0.184	0.004	0.203	-0.149	0.065	-0.424	0.207	0.135	0.143	0.261	0.119	0.219	0.144	-0.039	0.09	-0.109	-0.404	-0.282	not significant	not significant	not significant	not significant	Q8CIC2	NUP42
-0.189	-0.228	-0.145	-0.017	-0.105	-0.183	0.358	0.07	0.438	-0.128	-0.1	-0.065	0.27	0.144	0.084	0.056	-0.209	-0.053	not significant	not significant	not significant	not significant	P59235	NUP43
-0.162	-0.267	-0.334	-0.085	-0.21	-0.064	0.375	0.493	0.253	-0.106	-0.138	-0.09	0.26	0.071	0.164	-0.001	-0.167	0.007	not significant	not significant	significant	not significant	Q9JIH2	NUP50
0.172	0.085	0.113	0.136	-0.059	0.144	-0.067	-0.192	-0.332	0.015	0.012	-0.057	0.362	0.281	0.107	-0.262	-0.335	-0.122	not significant	not significant	not significant	not significant	Q8BTS4	NUP54
-0.056	0.042	-0.006	0.1	0.089	0.072	-0.07	-0.099	-0.071	-0.127	-0.24	-0.185	0.4	0.348	0.171	0.077	-0.407	-0.037	not significant	not significant	not significant	not significant	"Q8R332;Q8R332-2;Q8R332-3;Q8R332-4"	NUP58
0.289	0.225	0.16	-0.168	-0.088	0.08	-0.26	-0.041	-0.196	0.004	-0.083	0.028	0.303	0.326	0.167	-0.286	-0.319	-0.141	not significant	not significant	not significant	not significant	Q63850	NUP62
-0.055	0.034	-0.002	0.176	-0.003	0.061	-0.046	-0.143	-0.023	-0.095	0.018	0.03	0.21	0.228	0.186	-0.182	-0.271	-0.123	not significant	not significant	not significant	not significant	Q8R480	NUP85
-0.041	-0.037	-0.078	0.339	0.172	0.086	-0.172	-0.103	-0.166	0.043	0.003	0.049	0.183	0.224	0.04	-0.159	-0.203	-0.18	not significant	not significant	not significant	not significant	"Q8CEC0;Q8CEC0-2;Q8CEC0-3"	NUP88
0.017	0.112	0.208	0.057	0.075	-0.002	-0.139	-0.267	-0.061	0.049	0.181	0.162	0.096	0.083	0.156	-0.246	-0.268	-0.213	not significant	not significant	not significant	not significant	Q8BJ71	NUP93
0	0	0	0	0	0	0	0	0	-0.63	-0.17	-0.294	0.093	0.727	0.193	-0.274	0.308	0.047	not significant	not significant	not significant	not significant	A0A1B0GSX7	NUP98 (isof.)
0.08	0.001	0.076	0.163	0.16	0.129	-0.189	-0.263	-0.158	0.014	0.032	0.031	0.222	0.256	0.141	-0.201	-0.339	-0.156	not significant	not significant	not significant	not significant	Q6PFD9	NUP98
0.23	0.225	0.355	-0.266	-0.278	-0.046	0.008	0.036	-0.263	-0.385	-0.604	-0.38	-0.062	0.467	0.508	0.108	0.125	0.223	significant	not significant	not significant	not significant	Q9ERH4	NUSAP1
0.322	0.297	0.281	-0.238	0.005	-0.216	-0.205	-0.187	-0.061	2.968	2.678	-1.484	-1.096	-0.903	-0.421	-0.9	-0.176	-0.666	significant	not significant	not significant	not significant	P61971	NUTF2
0.107	0.049	0.066	0.081	-0.027	0.031	-0.081	-0.02	-0.205	0.484	0.441	0.356	-0.124	-0.365	-0.265	-0.178	-0.081	-0.268	significant	not significant	not significant	not significant	Q9DBY8	NVL
-0.004	-0.013	-0.009	-0.132	-0.033	-0.105	0.146	0.009	0.14	0.256	0.243	0.249	-0.18	-0.26	-0.225	0.008	0.013	-0.103	not significant	not significant	not significant	not significant	Q99JX7	NXF1
-0.15	-0.024	-0.185	-5.42	0.943	0.996	1.237	1.292	1.311	0.954	0.855	0.676	0.368	0.694	-3.543	0.509	-0.529	0.016	not significant	not significant	significant	not significant	"B1AUS0;Q4ZGD9"	NXF3
-0.879	-0.515	-1.106	-0.116	-0.332	0.127	0.985	0.855	0.979	-2.258	-1.697	-1.345	1.709	1.716	0.971	1.843	-1.085	0.145	significant	significant	significant	significant	P97346	NXN
0.264	0.147	0.085	-0.068	-0.153	-0.187	-0.061	-0.076	0.049	-0.064	0.143	0.139	-0.049	0.1	-0.078	-0.138	-0.047	-0.007	not significant	not significant	not significant	not significant	Q9QZV9	NXT1
0.266	0.567	0.561	0.875	0.575	-0.937	-0.715	-0.45	-0.741	0.68	0.68	0.452	1.132	0.822	0.761	-0.051	-1.403	-3.074	significant	significant	significant	not significant	Q3UNA4-2	NXT2
0.111	0.102	-0.251	-0.528	-0.432	-0.713	0.796	0.584	0.33	0.49	0.472	0.761	-0.897	-0.215	-1.091	0.517	0.106	-0.142	significant	not significant	significant	significant	Q5DTZ0	NYNRIN
0.398	0.377	0.231	0.435	0.398	0.361	-0.711	-0.722	-0.767	0.1	0.23	0.091	1.037	0.791	0.975	-0.917	-1.172	-1.135	significant	significant	significant	significant	Q8R5F3	OARD1
1.306	1.24	1.243	-0.285	-0.167	-3.689	0.584	-0.025	-0.206	1.101	0.896	0.769	-0.287	-0.888	-0.749	-0.159	-0.346	-0.336	significant	significant	significant	significant	P11928	OAS1A
-1.465	3.518	3.544	-0.995	-2.135	-2.243	2.045	-0.013	-2.258	-4.171	3.704	3.382	-4.686	-3.719	-4.588	3.325	3.451	3.302	significant	significant	significant	significant	V9GWY9	OBOX8
-2.197	-1.375	-3.5	0.926	0.523	1.024	1.463	1.564	1.571	-3.378	-2.294	-3.649	1.354	1.814	1.37	1.467	1.658	1.657	significant	significant	significant	significant	D3YYU8	OBSL1
-0.247	-0.343	-0.437	-0.178	-0.344	-0.283	0.673	0.572	0.586	0.003	-0.734	-0.25	0.531	-0.021	-0.35	0.844	-0.266	0.243	not significant	not significant	significant	significant	Q9CRD0	OCIAD1
-0.37	-1.822	-0.75	2.028	2.548	1.603	-0.701	-1.066	-1.471	-1.287	-0.621	-0.587	1.329	1.024	1.833	-0.239	-0.832	-0.621	significant	significant	significant	significant	Q61146	OCLN
0.058	0.037	-0.147	0.082	0.319	0.184	-0.274	-0.083	-0.176	0.259	0.251	0.266	0.018	0.073	0.245	-0.3	-0.346	-0.466	not significant	not significant	not significant	not significant	"A3KGV1;A3KGV1-3"	ODF2
0	0	0	0	0	0	0	0	0	0.016	0.169	-0.161	-1.005	-1.291	0.9	-0.11	1.252	0.229	not significant	not significant	not significant	not significant	"Q9D478;Q9D478-2"	ODF2L
0.009	0.134	0.094	-0.441	-1.322	-0.37	0.605	0.567	0.725	-0.735	-0.592	-0.85	0.266	-0.107	0.063	0.597	0.775	0.584	significant	significant	significant	significant	"Q4PJX1;Q4PJX1-3"	ODR4
0.455	0.503	0.203	-0.135	-0.561	0.242	-0.786	0.254	-0.175	0.344	0.303	0.289	-0.448	-0.423	-0.261	0.09	0.111	-0.005	significant	not significant	not significant	not significant	Q80Z25	OFD1
0.269	0.183	0.155	-0.23	-0.188	-0.052	0.083	-0.08	-0.141	-0.376	-0.004	-0.097	0.871	1.034	0.221	0.022	-0.802	-0.871	significant	not significant	not significant	not significant	"Q9EQQ9;Q9EQQ9-3"	OGA
-0.427	-0.423	-0.323	0.149	0.09	0.198	0.204	0.252	0.28	0.052	0.118	0.109	0.561	0.468	0.109	-0.241	-0.765	-0.411	significant	not significant	significant	not significant	Q60597	OGDH
-0.041	-0.021	0.12	0.262	0.354	0.365	-0.392	-0.377	-0.27	0.337	0.406	0.314	0.924	0.863	0.562	-0.018	-1.282	-2.107	significant	significant	significant	not significant	B2RXT3	OGDHL
0.464	0.504	0.32	-0.228	-0.203	-0.228	-0.282	-0.126	-0.22	-0.027	0.166	-0.133	0.249	0.416	0.529	-0.267	-1.693	0.761	not significant	not significant	significant	not significant	"Q3U0K8;Q3U0K8-2;Q3U0K8-3"	OGFOD1
0	0	0	0	0	0	0	0	0	-0.211	-0.319	-0.031	-0.408	-0.35	-0.648	0.567	0.775	0.626	significant	significant	not significant	not significant	Q9D136	OGFOD3
-0.372	-0.388	-0.355	0.405	0.284	0.415	0.032	-0.067	0.045	-0.362	-0.417	-0.283	0.574	0.614	0.46	-0.327	-0.157	-0.102	significant	not significant	significant	not significant	Q8CGY8	OGT
-1.609	-1.82	-0.009	1.153	1.416	-2.409	1.172	1.031	1.075	-0.168	-0.76	-0.139	0.502	0.606	0.428	-0.658	0.228	-0.039	significant	not significant	significant	not significant	A2AQ14	OIP5
-0.064	-0.092	-0.133	-0.031	0.056	-0.021	0.061	0.104	0.12	-0.496	-0.598	-1.024	0.393	0.612	0.306	-0.009	0.341	0.474	significant	significant	not significant	not significant	Q9CZ30	OLA1
0	0	0	0	0	0	0	0	0	-2.297	-1.863	-2.938	2.568	-2.417	-1.796	2.899	2.867	2.977	significant	significant	not significant	not significant	Q7TS04	OLFR301
0	0	0	0	0	0	0	0	0	-1.249	-1.349	-0.606	0.694	1.144	-1.159	0.749	0.74	1.036	significant	significant	not significant	not significant	"Q8VGD6;Q8VGD6-2"	OLFR56
3.007	3.079	3.062	-0.818	-1.764	-2.855	-0.676	-0.968	-2.069	0.76	0.615	0.37	-0.759	0.312	-0.132	-0.178	-0.471	-0.515	significant	not significant	significant	significant	Q9CWE6	OOEP
-0.07	-0.064	-0.119	-0.012	0.012	-0.106	0.222	0.067	0.07	0.322	-0.028	0.016	0.364	-0.017	-0.236	-0.124	-0.138	-0.16	not significant	not significant	not significant	not significant	P58281-2	OPA1
-0.402	-0.442	-0.657	0.828	0.84	0.675	-0.18	-0.358	-0.305	-1.418	-1.471	-1.063	2.618	2.758	2.865	-1.048	-1.801	-1.44	significant	significant	significant	significant	Q8K3K8	OPTN
-0.018	0.038	0.08	0.056	0.14	-0.102	0.041	-0.048	-0.187	-0.079	-0.052	-0.073	0.091	0.103	0.135	-0.036	-0.002	-0.087	not significant	not significant	not significant	not significant	Q9Z1N2	ORC1
-0.153	-0.315	-0.131	0.216	0.218	0.195	0.028	0.146	-0.204	-0.126	-0.032	-0.199	0.125	0.113	0.048	0.087	-0.029	0.014	not significant	not significant	not significant	not significant	Q60862	ORC2
0.073	0.07	0.006	0.118	-0.109	0.127	0.016	-0.205	-0.095	-0.14	-0.132	-0.137	0.038	0.165	0.16	0.06	-0.09	0.075	not significant	not significant	not significant	not significant	Q9JK30	ORC3
0.405	0.574	-0.122	0.368	0.131	-0.391	-0.664	-0.244	-0.058	0.318	-0.12	-0.3	0.185	0.227	0.495	0.319	-1.146	0.022	not significant	not significant	not significant	not significant	Q9JK30-2	ORC3 (isof.)
0.01	0.179	0.184	0.028	-0.025	-0.036	0.021	-0.104	-0.257	0.118	0.007	0.075	0.034	0.085	0.219	-0.352	-0.073	-0.112	not significant	not significant	not significant	not significant	O88708	ORC4
-0.281	-0.368	0.083	0.513	-0.017	-0.124	0.135	0.089	-0.03	0.07	0.042	0.051	0.12	0.007	0.024	-0.105	-0.147	-0.062	not significant	not significant	not significant	not significant	Q9WUV0	ORC5
0.548	0.563	0.615	-0.271	-0.065	-1.522	-0.042	0.08	0.093	0.072	0.157	-0.075	0.703	0.239	0.393	-0.928	0.056	-0.618	significant	not significant	significant	not significant	Q9WUJ8	ORC6
-0.191	-0.157	-0.521	-0.337	0.006	-0.243	0.474	0.385	0.583	0.596	-1.048	0.45	0.102	0.278	0.156	-0.424	0.477	-0.588	not significant	not significant	significant	not significant	"Q8K2C7;Q8K2C7-2"	OS9
0.146	0.261	0.113	-0.484	-0.08	-0.038	0.048	0.027	0.007	-0.347	-0.198	-0.071	0.425	0.654	0.129	0.4	-0.415	-0.578	not significant	not significant	not significant	not significant	Q3B7Z2	OSBP
-0.078	0.003	0.034	0.058	-0.037	0.028	0.046	0.003	-0.058	-1.257	-0.85	-1.77	1.317	1.289	0.875	-0.124	0.086	0.434	significant	significant	not significant	not significant	Q8CI95	OSBPL11
0.831	0.915	0.739	-0.907	-0.227	-0.793	-0.132	-0.311	-0.115	0.447	0.28	0.509	0.59	0.914	-0.7	-0.756	-0.241	-1.042	significant	not significant	significant	significant	Q91XL9	OSBPL1A
-0.389	-0.563	-0.224	0.062	0.051	-0.187	0.395	0.371	0.484	-0.481	-0.417	-0.687	-0.078	0.168	-0.059	0.597	0.37	0.587	significant	not significant	significant	not significant	B9EJ86	OSBPL8
-0.169	-0.029	-0.337	1.346	1.761	0.149	-0.445	-1.298	-0.978	-0.301	0.181	-0.004	0.144	0.055	-0.69	0.698	-0.188	0.105	not significant	not significant	significant	significant	"A0A0R4J1Y3;E0CXW7;E9QMF4"	OSGEP
0.151	0.217	0.045	0.152	0.215	0.065	-0.386	-0.261	-0.197	-1.059	-0.848	-0.636	1.201	1.432	1.038	-0.433	-0.57	-0.127	significant	significant	not significant	not significant	Q8BWU5	OSGEP (isof.)
0.852	-2.151	0.776	0.784	0.376	-2.154	0.965	0.874	-0.321	0.359	0.103	0.423	0.562	0.004	-0.558	-0.752	-0.401	0.259	not significant	not significant	not significant	not significant	Q78XF5	OSTC
-0.037	-0.14	-0.078	0.002	-0.155	0.043	0.072	0.122	0.17	-0.148	-0.426	0.364	1.017	0.644	0.049	-0.763	-0.353	-0.385	significant	not significant	not significant	not significant	Q7TQI3	OTUB1
0.176	0.034	0.228	-0.049	-0.015	0.071	-0.173	-0.205	-0.067	0.237	0.2	0.163	0.121	-0.176	-0.169	-0.084	0.025	-0.317	not significant	not significant	not significant	not significant	B2RRE7	OTUD4
-0.611	-0.52	-0.5	0.144	0.278	0.141	0.359	0.392	0.318	-1.764	-0.573	-0.516	0.899	1.341	0.444	-1.154	0.36	0.962	significant	not significant	significant	significant	B2RUR8	OTUD7B
-4.497	-3.192	-0.943	2.073	1.557	1.671	0.893	0.94	1.497	-1.294	-1.973	-1.543	1.426	0.684	1.676	0.527	0.611	-0.114	significant	significant	significant	significant	P80206	OTX2
0	0	0	0	0	0	0	0	0	-0.968	-1.588	-1.257	2.425	2.253	2.657	-2.05	-1.849	0.377	significant	significant	not significant	not significant	Q8CIV7	OVOL2
0.131	0.168	0.216	-0.067	-0.434	-0.229	0.233	-0.11	0.091	-1.1	-1.435	-1.599	0.866	0.297	0.354	0.982	1.016	0.619	significant	significant	not significant	not significant	Q8BGA9	OXA1L
-0.407	-0.107	-0.128	-0.005	0.12	0.212	0.079	0.169	0.067	-0.287	-0.216	-0.188	0.719	1.783	-0.414	-1.18	-0.814	0.596	not significant	not significant	not significant	not significant	Q9D0K2	OXCT1
0.274	-0.282	0.139	0.257	0.198	0.129	-0.407	0.039	-0.346	-3.879	-2.96	2.084	1.732	1.292	1.637	1.762	0.993	-2.661	significant	not significant	not significant	not significant	"Q8VE38;Q8VE38-2"	OXNAD1
0.274	0.103	0.03	0.057	0.422	0.153	-0.398	-0.338	-0.303	-0.243	-0.044	-0.158	1.113	0.946	0.622	-0.556	-1.181	-0.499	significant	significant	significant	not significant	Q6P9R2	OXSR1
0.035	-0.293	-0.412	0.293	0.283	0.007	-0.482	0.633	-0.064	-1.217	1.477	1.41	0.892	-0.81	-0.14	-0.317	-0.768	-0.528	not significant	not significant	not significant	not significant	Q9Z1M0	P2RX7
0.432	0.406	0.45	0.159	-0.018	-0.056	-0.596	-0.278	-0.498	0.496	1.571	1.38	1.297	1.112	0.416	-2.278	-1.792	-2.201	significant	significant	significant	not significant	Q3V1T4	P3H1
-0.599	-0.238	-0.394	-0.718	-0.619	-0.47	1.047	0.967	1.024	0.319	0.969	1.129	0.376	-0.705	-3.118	0.408	0.369	0.253	significant	not significant	significant	significant	"Q60715;Q60715-2"	P4HA1
-0.37	-0.473	-0.452	-0.035	-0.073	-0.055	0.457	0.529	0.472	-0.237	-0.724	-0.594	0.673	0.675	-0.37	0.116	0.201	0.261	not significant	not significant	significant	significant	P09103	P4HB
0.011	-0.105	-0.127	-0.163	-0.22	-0.209	0.177	0.347	0.291	0.114	0.049	0.092	-0.156	-0.145	-0.477	0.227	0.216	0.08	not significant	not significant	not significant	not significant	P50580	PA2G4
-0.182	-0.203	-0.229	0.037	0.017	-0.004	0.219	0.217	0.128	0.489	0.508	0.478	-0.122	-0.062	-0.319	-0.328	-0.31	-0.335	significant	not significant	not significant	not significant	P29341	PABPC1
-0.009	-0.005	0.009	0.119	0.14	0.157	-0.174	-0.074	-0.163	0.609	0.627	0.48	0.262	0.155	-0.042	-0.649	-0.673	-0.769	significant	significant	not significant	not significant	"A3KFU5;Q6PHQ9"	PABPC4
0.02	-0.062	-0.146	0.379	0.124	0.418	-0.089	-0.311	-0.332	-0.066	-0.069	0.017	0.337	0.4	0.297	-0.349	-0.25	-0.317	significant	not significant	not significant	not significant	Q8CCS6	PABPN1
0.131	0.088	0.067	0.03	0.112	0.243	-0.208	-0.122	-0.34	0.467	0.633	0.528	0.15	0.184	-0.093	-1.264	-0.72	0.115	significant	not significant	not significant	not significant	Q9D3X5	PACRGL
-0.375	-0.544	-0.648	0.091	0.186	0.239	0.317	0.431	0.303	-0.63	0.025	-0.614	0.439	0.796	0.602	0.221	-0.96	0.121	significant	not significant	significant	significant	Q8K212	PACS1
-0.506	-0.655	-1.08	-0.187	0.022	0.808	0.795	0.483	0.318	-0.789	0.217	-0.192	-0.516	0.373	0.194	1.077	-1.216	0.851	not significant	not significant	significant	significant	Q3V3Q7	PACS2
0.147	0.166	0.118	-0.234	-0.063	-0.218	-0.001	0.067	0.017	1.642	1.657	1.422	1.082	0.242	-0.791	-2.331	-2.676	-0.248	significant	significant	not significant	not significant	Q9WVE8	PACSIN2
-0.498	-0.288	-0.488	0.335	0.473	0.281	0.104	0.02	0.06	-1.133	-0.673	-0.986	1.143	0.951	0.681	0.204	-0.086	-0.101	significant	significant	significant	not significant	Q99JB8	PACSIN3
-0.184	-0.301	-0.391	0.281	0.191	0.313	0.019	0.051	0.021	-0.295	-0.365	-0.355	0.256	0.278	0.373	-0.059	0.008	0.158	not significant	not significant	significant	not significant	Q8K2T8	PAF1
-0.324	-0.283	-0.198	-0.297	-0.214	-0.249	0.437	0.598	0.53	-1.153	-1.198	-0.653	0.517	0.513	0.275	0.286	0.771	0.642	significant	significant	significant	significant	P63005	PAFAH1B1
-0.345	-0.186	-0.459	-0.027	-0.2	-0.162	0.519	0.503	0.355	-1.247	-1.059	-0.399	-0.265	-0.749	-0.333	2.309	-0.823	2.567	significant	significant	significant	not significant	Q61206	PAFAH1B2
